Name,Disaster,CPI-Adjusted Cost,Unadjusted Cost,Deaths,begin_date,end_date,cyclone_year
Allen (1980),Tropical Cyclone,2236.2,590.0,13,1980-08-07,1980-08-11,1980
Alicia (1983),Tropical Cyclone,9450.0,3000.0,21,1983-08-17,1983-08-20,1983
Elena (1985),Tropical Cyclone,3788.4,1297.4,4,1985-08-30,1985-09-03,1985
Gloria (1985),Tropical Cyclone,2491.3,856.1,11,1985-09-26,1985-09-28,1985
Juan (1985),Tropical Cyclone,4340.4,1496.7,63,1985-10-27,1985-10-31,1985
Allison (1989),Tropical Cyclone,1485.9,585.0,11,1989-06-26,1989-06-28,1989
Hugo (1989),Tropical Cyclone,22679.7,8999.9,86,1989-09-21,1989-09-22,1989
Bob (1991),Tropical Cyclone,3471.8,1502.9,18,1991-08-18,1991-08-20,1991
Andrew (1992),Tropical Cyclone,60480.0,27000.0,61,1992-08-23,1992-08-27,1992
Iniki (1992),Tropical Cyclone,6913.0,3100.0,7,1992-09-11,1992-09-12,1992
Alberto (1994),Tropical Cyclone,2126.8,998.5,32,1994-07-07,1994-07-10,1994
Erin (1995),Tropical Cyclone,1751.0,850.0,6,1995-08-01,1995-08-07,1995
Marilyn (1995),Tropical Cyclone,4326.0,2100.0,13,1995-09-15,1995-09-17,1995
Opal (1995),Tropical Cyclone,9612.5,4689.0,27,1995-10-04,1995-10-06,1995
Fran (1996),Tropical Cyclone,10014.0,5007.0,37,1996-09-05,1996-09-08,1996
Frances (1998),Tropical Cyclone,1351.0,700.0,2,1998-08-08,1998-08-13,1998
Bonnie (1998),Tropical Cyclone,1891.4,980.0,3,1998-08-27,1998-08-29,1998
Georges (1998),Tropical Cyclone,11550.1,5984.5,16,1998-09-20,1998-09-29,1998
Floyd (1999),Tropical Cyclone,12203.2,6491.0,77,1999-09-14,1999-09-16,1999
Allison (2001),Tropical Cyclone,15084.0,8522.0,43,2001-06-05,2001-06-17,2001
Lili (2002),Tropical Cyclone,1932.9,1104.5,2,2002-08-01,2002-08-05,2002
Isidore (2002),Tropical Cyclone,2001.0,1150.0,5,2002-09-25,2002-09-27,2002
Isabel (2003),Tropical Cyclone,9322.9,5484.0,55,2003-09-18,2003-09-19,2003
Charley (2004),Tropical Cyclone,26559.2,15999.5,35,2004-08-13,2004-08-14,2004
Frances (2004),Tropical Cyclone,16268.0,9800.0,48,2004-09-03,2004-09-09,2004
Ivan (2004),Tropical Cyclone,34031.0,20500.5,57,2004-09-12,2004-09-21,2004
Jeanne (2004),Tropical Cyclone,12444.5,7496.5,28,2004-09-15,2004-09-29,2004
Dennis (2005),Tropical Cyclone,4017.0,2495.0,15,2005-07-09,2005-07-11,2005
Katrina (2005),Tropical Cyclone,201297.5,125029.5,1833,2005-08-25,2005-08-30,2005
Rita (2005),Tropical Cyclone,29415.2,18500.1,119,2005-09-20,2005-09-24,2005
Wilma (2005),Tropical Cyclone,30020.0,19000.0,35,2005-10-24,2005-10-24,2005
Dolly (2008),Tropical Cyclone,1812.2,1267.3,3,2008-07-23,2008-07-25,2008
Gustav (2008),Tropical Cyclone,8635.7,5997.0,53,2008-08-31,2008-09-03,2008
Ike (2008),Tropical Cyclone,43198.4,29998.8,112,2008-09-12,2008-09-14,2008
Irene (2011),Tropical Cyclone,18756.7,13494.0,45,2011-08-26,2011-08-28,2011
Lee (2011),Tropical Cyclone,3492.4,2512.5,21,2011-09-01,2011-09-05,2011
Isaac (2012),Tropical Cyclone,3786.1,2763.5,9,2012-08-26,2012-08-31,2012
Sandy (2012),Tropical Cyclone,88453.9,65039.6,159,2012-10-30,2012-10-31,2012
Matthew (2016),Tropical Cyclone,13100.0,10000.0,49,2016-10-08,2016-10-12,2016
Harvey (2017),Tropical Cyclone,160000.0,125000.0,89,2017-08-25,2017-08-31,2017
Irma (2017),Tropical Cyclone,64000.0,50000.0,97,2017-09-06,2017-09-12,2017
Maria (2017),Tropical Cyclone,115200.0,90000.0,2981,2017-09-19,2017-09-21,2017
Florence (2018),Tropical Cyclone,30000.0,24000.0,53,2018-09-13,2018-09-16,2018
Michael (2018),Tropical Cyclone,31218.8,24975.0,49,2018-10-10,2018-10-11,2018
Dorian (2019),Tropical Cyclone,1980.3,1610.0,10,2019-08-28,2019-09-06,2019
Imelda (2019),Tropical Cyclone,6150.0,5000.0,5,2019-09-17,2019-09-21,2019
Hanna (2020),Tropical Cyclone,1300.8,1075.0,0,2020-07-25,2020-07-26,2020
Isaias (2020),Tropical Cyclone,5756.1,4757.0,16,2020-08-03,2020-08-04,2020
Laura (2020),Tropical Cyclone,28090.3,23215.0,42,2020-08-27,2020-08-28,2020
Sally (2020),Tropical Cyclone,8801.5,7274.0,5,2020-09-15,2020-09-17,2020
Delta (2020),Tropical Cyclone,3469.3,2867.0,5,2020-10-09,2020-10-11,2020
Zeta (2020),Tropical Cyclone,5266.0,4352.0,6,2020-10-28,2020-10-29,2020
Eta (2020),Tropical Cyclone,1766.7,1460.0,12,2020-11-08,2020-11-12,2020
Elsa (2021),Tropical Cyclone,1407.1,1213.0,1,2021-07-07,2021-07-09,2021
Fred (2021),Tropical Cyclone,1481.3,1277.0,7,2021-08-16,2021-08-18,2021
Ida (2021),Tropical Cyclone,84608.1,73572.0,96,2021-08-29,2021-09-01,2021
Nicholas (2021),Tropical Cyclone,1168.5,1016.0,0,2021-09-14,2021-09-18,2021
Fiona (2022),Tropical Cyclone,2685.7,2510.0,25,2022-09-17,2022-09-18,2022
Ian (2022),Tropical Cyclone,119626.0,111800.0,152,2022-09-28,2022-09-30,2022
Nicole (2022),Tropical Cyclone,1081.2,1020.0,5,2022-11-10,2022-11-11,2022
Mawar (2023),Tropical Cyclone,4420.0,4250.0,2,2023-05-24,2023-05-25,2023
Idalia (2023),Tropical Cyclone,3559.7,3456.0,5,2023-08-29,2023-08-31,2023
Beryl (2024),Tropical Cyclone,7219.0,7219.0,46,2024-07-08,2024-07-08,2024
Debby (2024),Tropical Cyclone,2476.0,2476.0,17,2024-08-05,2024-08-09,2024
Francine (2024),Tropical Cyclone,1291.0,1291.0,0,2024-09-11,2024-09-12,2024
Helene (2024),Tropical Cyclone,78721.0,78721.0,219,2024-09-24,2024-09-29,2024
Milton (2024),Tropical Cyclone,34250.0,34250.0,32,2024-10-09,2024-10-10,2024
